ID_Testeur,Date_Test,Scénario_ID,Commande_Proferée,Tache_Accomplie,Tps_Execution_Sec,Sortie_Assistant,Difficulte_Score_1_5,Notes_Observateur,Feedback_Qualitatif_Testeur
T_3CC3D7A3,2025-07-24 09:05:12,S_0724_0905,bonjour,True,0.45,"Salut ! Comment puis-je vous aider ?",1,"Réponse instantanée","Correct"
T_A1B2C3,2025-07-24 09:15:22,S_0724_0915,ouvre youtube,False,1.23,"Commande non reconnue",2,"Reconnaissance échouée","Pourquoi ça ne marche pas ?"
T_X7Y8Z9,2025-07-24 09:30:45,S_0724_0930,quelle heure est-il,True,0.67,"Il est 09:30",1,"Précis","Utile"
T_Q1W2E3,2025-07-24 09:45:18,S_0724_0945,éteins l'ordi,False,0.89,"Commande non reconnue",3,"Mot-clé incomplet","Doit être plus précis"
T_R4T5Y6,2025-07-24 10:00:33,S_0724_1005,ouvre gmail,True,1.12,"Ouverture de Gmail",2,"Succès","Satisfait"
T_U7I8O9,2025-07-24 10:15:44,S_0724_1015,meteo,False,0.76,"Commande non reconnue",2,"Orthographe incorrecte","Frustrant"
T_P0L9K8,2025-07-24 10:30:12,S_0724_1030,github,True,1.45,"Ouverture de GitHub",2,"Reconnaissance partielle","Marche mais lent"
T_J7H6G5,2025-07-24 10:45:30,S_0724_1045,au revoir,True,0.34,"À bientôt !",1,"Fermeture propre","Parfait"
T_V3B4N5,2025-07-24 11:00:18,S_0724_1100,date aujourd'hui,False,0.56,"Commande non reconnue",3,"Formulation incorrecte","Pas intuitif"
T_M6J7K8,2025-07-24 11:15:33,S_0724_1115,ouvre word,True,2.12,"Ouverture de Word",2,"Temps de lancement","Correct"
T_Z1X2C3,2025-07-24 11:30:45,S_0724_1130,appel video,False,0.78,"Commande non reconnue",3,"Terme trop générique","Doit préciser"
T_L9P8O7,2025-07-24 11:45:10,S_0724_1145,volume plus,False,0.67,"Commande non reconnue",2,"Syntaxe incorrecte","Pas clair"
T_F4G5H6,2025-07-24 12:00:22,S_0724_1200,explorateur fichiers,False,1.23,"Commande non reconnue",3,"Trop long","Devrait accepter"
T_D7S8A9,2025-07-24 12:15:35,S_0724_1215,redémarre,False,0.45,"Commande non reconnue",4,"Privilèges nécessaires","Compréhensible"
T_E1R2T3,2025-07-24 12:30:44,S_0724_1230,batterie,True,1.56,"Batterie: 78%",2,"Info utile","Pratique"
T_K4L5M6,2025-07-24 12:45:18,S_0724_1245,instagram,True,3.45,"Ouverture Instagram",3,"Réseau lent","Acceptable"
T_N7B8V9,2025-07-24 13:00:33,S_0724_1300,capture écran,True,1.78,"Capture sauvegardée",2,"Fonctionne","Bon"
T_W2Q3E4,2025-07-24 13:15:22,S_0724_1315,excel,True,4.56,"Ouverture Excel",3,"Long démarrage","Normal"
T_Y5U6I7,2025-07-24 13:30:45,S_0724_1330,silence,False,0.34,"Commande non reconnue",2,"Mot-clé différent","Devrait dire 'muet'"
T_O8P9A0,2025-07-24 13:45:10,S_0724_1345,plein écran,True,0.89,"Plein écran activé",2,"Réponse instantanée","Bien"
T_T1R2E3,2025-07-24 14:00:33,S_0724_1400,minimiser,False,0.56,"Commande non reconnue",3,"Terme incomplet","Doit préciser"
T_G4H5J6,2025-07-24 14:15:18,S_0724_1415,suivant,True,0.67,"Piste suivante",2,"Média requis","OK"
T_B7V8C9,2025-07-24 14:30:45,S_0724_1430,recule,True,0.78,"Recul de 10s",2,"Fonction vidéo","Correct"
T_M1N2B3,2025-07-24 14:45:22,S_0724_1445,twitter,True,2.34,"Ouverture Twitter",3,"Réseau saturé","Lent"
T_Q4W5E6,2025-07-24 15:00:33,S_0724_1505,CPU,False,0.89,"Commande non reconnue",3,"Trop technique","Doit reformuler"
T_K7L8P9,2025-07-24 15:15:18,S_0724_1515,powerpoint,True,5.67,"Ouverture PowerPoint",3,"Long chargement","Normal"
T_Z1X2Y3,2025-07-24 15:30:45,S_0724_1530,nouvel onglet,True,0.45,"Nouvel onglet",1,"Rapide","Parfait"
T_V4F5G6,2025-07-24 15:45:10,S_0724_1545,teams,True,8.90,"Lancement Teams",4,"Trop long","A améliorer"
T_H7J8K9,2025-07-24 16:00:33,S_0724_1605,terminal,True,1.23,"Terminal ouvert",3,"Pour experts","OK"
T_D1S2A3,2025-07-24 16:15:18,S_0724_1615,musique,False,0.67,"Commande non reconnue",2,"Trop vague","Préciser"
T_F4G5H6,2025-07-24 16:30:45,S_0724_1630,stop musique,False,0.56,"Commande non reconnue",2,"Syntaxe incorrecte","Dire 'arrête musique'"
T_C7V8B9,2025-07-24 16:45:22,S_0724_1645,précédent,True,0.78,"Piste précédente",2,"Média requis","Bien"
T_E1W2R3,2025-07-25 09:05:33,S_0725_0905,ralentir,False,0.89,"Commande non reconnue",3,"Terme incorrect","Dire 'moins vite'"
T_R4T5Y6,2025-07-25 09:20:44,S_0725_0920,email,True,1.12,"Client mail ouvert",2,"Générique","Correct"
T_U7I8O9,2025-07-25 09:35:18,S_0725_0935,fenêtre droite,False,1.23,"Commande non reconnue",3,"Syntaxe exacte requise","Trop rigide"
T_P0L9K8,2025-07-25 09:50:33,S_0725_0950,copier,False,0.45,"Commande non reconnue",2,"Dire 'copie'","Petite différence"
T_J7H6G5,2025-07-25 10:05:22,S_0725_1005,pluie,False,0.67,"Commande non reconnue",3,"Trop court","Dire 'météo'"
T_V3B4N5,2025-07-25 10:20:45,S_0725_1020,luminosité moins,False,0.78,"Commande non reconnue",3,"Syntaxe incorrecte","Dire 'diminue luminosité'"
T_M6J7K8,2025-07-25 10:35:10,S_0725_1035,rapport,False,1.12,"Commande non reconnue",4,"Trop vague","Préciser"
T_Z1X2C3,2025-07-25 10:50:33,S_0725_1050,linkedin,True,2.34,"Ouverture LinkedIn",3,"Orthographe exacte","Sensible"
T_L9P8O7,2025-07-25 11:05:18,S_0725_1105,facebook,True,3.45,"Ouverture Facebook",2,"Réseau OK","Correct"
T_F4G5H6,2025-07-25 11:20:45,S_0725_1120,fermer onglet,False,0.56,"Commande non reconnue",2,"Syntaxe","Dire 'ferme l'onglet'"
T_D7S8A9,2025-07-25 11:35:22,S_0725_1135,twitter,True,4.56,"Ouverture Twitter",3,"Cache","Lent"
T_E1R2T3,2025-07-25 11:50:33,S_0725_1150,heure,True,0.34,"Il est 11:50",1,"Rapide","Parfait"
T_K4L5M6,2025-07-25 12:05:18,S_0725_1205,enigma,False,0.45,"Commande non reconnue",1,"Mot-clé spécial","Compréhensible"
T_N7B8V9,2025-07-25 12:20:45,S_0725_1220,merci,True,0.23,"Je vous en prie !",1,"Poli","Agréable"
T_W2Q3E4,2025-07-25 12:35:10,S_0725_1235,nom assistant,False,0.67,"Commande non reconnue",2,"Dire 'ton nom'","Doit deviner"
T_Y5U6I7,2025-07-25 12:50:33,S_0725_1250,ça va,False,0.45,"Commande non reconnue",2,"Dire 'comment tu vas'","Similarité"
T_O8P9A0,2025-07-25 13:05:18,S_0725_1305,google,True,1.23,"Ouverture Google",1,"Base","Essentiel"
T_T1R2E3,2025-07-25 13:20:45,S_0725_1320,zoom,True,7.89,"Lancement Zoom",4,"Long","A optimiser"
T_G4H5J6,2025-07-25 13:35:22,S_0725_1335,outlook,True,3.45,"Ouverture Outlook",3,"Ressources","Correct"
T_B7V8C9,2025-07-25 13:50:33,S_0725_1350,avancer,False,0.56,"Commande non reconnue",2,"Dire 'avance'","Nuance"
T_M1N2B3,2025-07-25 14:05:18,S_0725_1405,mute,True,0.34,"Son coupé",2,"Anglicisme","Accepté"
T_Q4W5E6,2025-07-25 14:20:45,S_0725_1420,espace disque,True,1.23,"Espace libre: 125Go",3,"Info technique","Utile"
T_K7L8P9,2025-07-25 14:35:10,S_0725_1435,ppt,False,0.45,"Commande non reconnue",2,"Dire 'powerpoint'","Abbréviation"
T_Z1X2Y3,2025-07-25 14:50:33,S_0725_1450,onglet nouveau,False,0.67,"Commande non reconnue",3,"Ordre mots","Syntaxe stricte"
T_V4F5G6,2025-07-25 15:05:18,S_0725_1505,démarre teams,False,0.78,"Commande non reconnue",3,"Trop long","Dire 'ouvre teams'"
T_H7J8K9,2025-07-25 15:20:45,S_0725_1520,cmd,True,1.12,"Terminal ouvert",3,"Alias","OK"
T_D1S2A3,2025-07-25 15:35:22,S_0725_1535,lecture,False,0.34,"Commande non reconnue",2,"Dire 'lire'","Orthographe"
T_F4G5H6,2025-07-25 15:50:33,S_0725_1550,stop,False,0.45,"Commande non reconnue",2,"Trop générique","Ambigu"
T_C7V8B9,2025-07-25 16:05:18,S_0725_1605,précédente,False,0.56,"Commande non reconnue",2,"Genre incorrect","Dire 'précédent'"
T_E1W2R3,2025-07-25 16:20:45,S_0725_1620,vitesse plus,False,0.67,"Commande non reconnue",3,"Syntaxe","Dire 'plus vite'"
T_A2B3C4,2025-07-26 09:10:22,S_0726_0910,allume écran,False,0.45,"Commande non reconnue",3,"Terme technique","Devrait supporter 'active écran'"
T_D5E6F7,2025-07-26 09:25:33,S_0726_0925,diminue son,False,0.67,"Commande non reconnue",2,"Syntaxe","Dire 'baisse le volume'"
T_G8H9I0,2025-07-26 09:40:18,S_0726_0940,ferme chrome,False,1.23,"Commande non reconnue",4,"Nom application","Dire 'ferme navigateur'"
T_J1K2L3,2025-07-26 09:55:45,S_0726_0955,calculatrice,True,1.45,"Ouverture Calculatrice",1,"Commande système","Fiable"
T_M4N5O6,2025-07-26 10:10:10,S_0726_1010,note rapide,False,0.78,"Commande non reconnue",3,"Fonctionnalité absente","À implémenter"
T_P7Q8R9,2025-07-26 10:25:33,S_0726_1025,calendrier,True,2.34,"Ouverture Calendrier",2,"Intégration","Utile"
T_S0T1U2,2025-07-26 10:40:18,S_0726_1040,raccourci clavier,False,1.12,"Commande non reconnue",4,"Trop complexe","Hors scope"
T_V3W4X5,2025-07-26 10:55:45,S_0726_1055,paramètres,True,3.45,"Ouverture Paramètres",3,"Accès direct","Pratique"
T_Y6Z7A8,2025-07-26 11:10:22,S_0726_1110,langue française,False,0.56,"Commande non reconnue",3,"Configuration","Menu dédié"
T_B9C0D1,2025-07-26 11:25:33,S_0726_1125,historique,False,1.78,"Commande non reconnue",3,"Privacité","Non disponible"
T_E2F3G4,2025-07-26 11:40:18,S_0726_1140,nettoyage disque,False,2.34,"Commande non reconnue",4,"Admin requis","Bloqué"
T_H5I6J7,2025-07-26 11:55:45,S_0726_1155,bloc-notes,True,1.23,"Ouverture Bloc-notes",1,"Basique","Fonctionnel"
T_K8L9M0,2025-07-26 12:10:10,S_0726_1210,enregistreur vocal,False,0.89,"Commande non reconnue",3,"Appli spécifique","Non supporté"
T_N1O2P3,2025-07-26 12:25:33,S_0726_1225,peinture,True,2.56,"Ouverture Paint",2,"Legacy","Marche"
T_Q4R5S6,2025-07-26 12:40:18,S_0726_1240,cmd admin,False,1.45,"Commande non reconnue",5,"Droits insuffisants","Sécurité"
T_T7U8V9,2025-07-26 12:55:45,S_0726_1255,tâches récentes,False,0.67,"Commande non reconnue",3,"Terme Windows","Dire 'gestionnaire'"
T_W0X1Y2,2025-07-26 13:10:22,S_0726_1310,déconnecter,False,1.23,"Commande non reconnue",4,"Ambigu","Préciser"
T_Z3A4B5,2025-07-26 13:25:33,S_0726_1325,économiseur écran,False,2.34,"Commande non reconnue",3,"Obsolète","Inutile"
T_C6D7E8,2025-07-26 13:40:18,S_0726_1340,police texte,False,0.78,"Commande non reconnue",4,"Trop spécifique","Hors scope"
T_F9G0H1,2025-07-26 13:55:45,S_0726_1355,vidéo projecteur,False,1.56,"Commande non reconnue",4,"Matériel","Non détecté"
T_I2J3K4,2025-07-26 14:10:10,S_0726_1410,partage écran,False,2.12,"Commande non reconnue",4,"Fonction avancée","Non implémenté"
T_L5M6N7,2025-07-26 14:25:33,S_0726_1425,imprimante,False,1.45,"Commande non reconnue",3,"Périphérique","Non géré"
T_O8P9Q0,2025-07-26 14:40:18,S_0726_1440,scanner,False,0.89,"Commande non reconnue",4,"Matériel","Absent"
T_R1S2T3,2025-07-26 14:55:45,S_0726_1455,bluetooth,False,1.23,"Commande non reconnue",3,"Périphérique","Désactivé"
T_U4V5W6,2025-07-26 15:10:22,S_0726_1510,wifi liste,False,0.56,"Commande non reconnue",3,"Réseau","Trop technique"
T_X7Y8Z9,2025-07-26 15:25:33,S_0726_1525,maintenance,False,2.34,"Commande non reconnue",5,"Admin","Restreint"
T_A0B1C2,2025-07-26 15:40:18,S_0726_1540,mise à jour,False,1.78,"Commande non reconnue",4,"Système","Automatique"
T_D3E4F5,2025-07-26 15:55:45,S_0726_1555,sauvegarde,False,3.45,"Commande non reconnue",4,"Complexe","Non configuré"